activation,hidden,lr,epoch,train_loss,val_loss,epoch_flops,total_flops,gflops,epoch_time
gelu,64,0.01,41,0.3064055572015718,0.3209655299435332,856865150,35131471150,35.13147115,0.18782550003379583
gelu,64,0.01,42,0.3058520787638179,0.32061105015831726,856865150,35988336300,35.9883363,0.19516869983635843
gelu,64,0.01,43,0.3052647198379055,0.32020110231522825,856865150,36845201450,36.84520145,0.2909694998525083
gelu,64,0.01,44,0.304646743487342,0.31980382013325503,856865150,37702066600,37.7020666,0.1895483999978751
gelu,64,0.01,45,0.3040621484069711,0.31949533812463565,856865150,38558931750,38.55893175,0.19106410001404583
gelu,64,0.01,46,0.30358473804748637,0.3192899439167912,856865150,39415796900,39.4157969,0.19220920000225306
gelu,64,0.01,47,0.30322990340021394,0.3191181828519274,856865150,40272662050,40.27266205,0.872274599969387
gelu,64,0.01,48,0.3029318215565077,0.3188831487558044,856865150,41129527200,41.1295272,0.19645660021342337
gelu,64,0.01,49,0.3025965379690197,0.31854848866120783,856865150,41986392350,41.98639235,0.19495030003599823
gelu,64,0.01,50,0.3021867923783125,0.3181664823943969,856865150,42843257500,42.8432575,0.24521019984968007
gelu,64,0.01,51,0.3017494849408829,0.31781556539750844,856865150,43700122650,43.70012265,0.19118550000712276
gelu,64,0.01,52,0.30135531902973905,0.3175205335341308,856865150,44556987800,44.5569878,0.3871851998846978
gelu,64,0.01,53,0.3010219652217444,0.3172449266082048,856865150,45413852950,45.41385295,0.19411080004647374
gelu,64,0.01,54,0.3007082182967392,0.31695523607790754,856865150,46270718100,46.2707181,0.19070279994048178
gelu,64,0.01,55,0.30037798270784494,0.3166705463211878,856865150,47127583250,47.12758325,0.18976310011930764
gelu,64,0.01,56,0.30004824602624774,0.31643604752964993,856865150,47984448400,47.9844484,0.22132569993846118
gelu,64,0.01,57,0.29976063438034123,0.31626015051354245,856865150,48841313550,48.84131355,0.5626425000373274
gelu,64,0.01,58,0.29951742472029247,0.31610350026188677,856865150,49698178700,49.6981787,0.1898685002233833
gelu,64,0.01,59,0.29927134020070134,0.3159370706788568,856865150,50555043850,50.55504385,0.1882858001627028
gelu,64,0.01,60,0.2989861798867731,0.3157844841836146,856865150,51411909000,51.411909,0.20541130006313324
gelu,64,0.01,61,0.2986814286455517,0.31568845312604793,856865150,52268774150,52.26877415,0.23626319994218647
gelu,64,0.01,62,0.29839943179702877,0.31565484521353737,856865150,53125639300,53.1256393,0.21736270003020763
