activation,hidden,lr,train_acc,val_acc,test_acc,gflops
relu,64,0.01,0.8689393066912358,0.8533476658476659,0.8543087033965973,84.2277822
gelu,64,0.01,0.8669814580214211,0.8524262899262899,0.8559670781893004,85.686515
tanh,64,0.01,0.8571922146723483,0.8492014742014742,0.8544315459738345,84.2277822
relu,32,0.01,0.8684018580367768,0.851965601965602,0.8532645414900805,42.1536158
relu,128,0.01,0.8734692310645322,0.8521191646191646,0.8540630182421227,168.376115
relu,256,0.01,0.8761180851472226,0.8524262899262899,0.8531416989128432,336.6727806
relu,64,0.001,0.8509731659564667,0.8433660933660934,0.8472452552054542,84.2277822
relu,64,0.005,0.8667127336941917,0.8507371007371007,0.856704133652724,84.2277822
relu,64,0.05,0.8710891013090714,0.8496621621621622,0.8520975370063264,84.2277822
